id,name,slug,price,regular_price,sale_price,on_sale,currency,currency_symbol,in_stock,main_category,categories,primary_image,images,sku,average_rating,review_count,permalink,short_description,description
10903,Paprika Powder 400g,paprika-powder-400g,40.0,40.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4245-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4245-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/paprika-powder-400g/,,Trs
10901,Ajwain Seeds 1 Kg,ajween-seeds-1kg,98.0,98.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4246-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4246-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/ajween-seeds-1kg/,,
10899,Tandoori Masala 400g,tandoori-masala-400g,38.0,38.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4247-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4247-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/tandoori-masala-400g/,,TRS
10897,Crushed Chilli (Extra Hot) 250g,crushed-chilli-extra-hot-250g,30.0,30.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4248-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4248-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/crushed-chilli-extra-hot-250g/,,Trs
10895,Mild Madras Curry Powder 400g,mild-madras-curry-powder-400g,30.0,30.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4249-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4249-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/mild-madras-curry-powder-400g/,,TRS
10893,Turmeric Powder (Haldi) 400g,turmeric-powder-400g,40.0,40.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/HALDI-PWD-ALI-BABA-10X400G.webp,https://www.sabziwala.dk/wp-content/uploads/2022/02/HALDI-PWD-ALI-BABA-10X400G.webp,,0.0,0,https://www.sabziwala.dk/product/turmeric-powder-400g/,,Alibaba
10891,Cumin Powder (Jeera)400g,cumin-powder-jeera400g,48.0,48.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4251-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4251-scaled.jpeg | https://www.sabziwala.dk/wp-content/uploads/2022/02/trs-ground-cumin-400-01_800x.webp,,0.0,0,https://www.sabziwala.dk/product/cumin-powder-jeera400g/,,Ground Zeera Heera + TRS
10889,Garam Masala 400g,gram-masala-400g,50.0,50.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4252-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4252-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/gram-masala-400g/,,Aromatic spice blend
10887,Curry Powder Hot 400g,madras-hot-curry-powder-400g,38.0,38.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2023/08/41547.jpg,https://www.sabziwala.dk/wp-content/uploads/2023/08/41547.jpg,,0.0,0,https://www.sabziwala.dk/product/madras-hot-curry-powder-400g/,,Ali Baba
10883,Sugar Candi 375g,sugar-candi-375g,35.0,35.0,,False,DKK,kr.,True,Salt and Sugar,Salt and Sugar; Child Hood; Desserts & Sweets; Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4255-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4255-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/sugar-candi-375g/,,Natco
10881,Sugar Candy 100g,sugar-candy,15.0,15.0,,False,DKK,kr.,True,Salt and Sugar,Salt and Sugar; Child Hood; Desserts & Sweets; Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4256-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4256-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/sugar-candy/,,Heera
10879,Cumin Seeds (Jeera)300g,cumin-seeds-jeera300g,38.0,38.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4257-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4257-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/cumin-seeds-jeera300g/,,KHANUM
10877,Anardana Whole 100g,anardana-whole-100g,20.0,20.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4258-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4258-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/anardana-whole-100g/,,Pomegranate whole
10875,Anardana Powder 100g,anardana-powder-100g,20.0,20.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4259.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4259.jpeg,,0.0,0,https://www.sabziwala.dk/product/anardana-powder-100g/,,Permanganate powder (TRS)
10873,Cinnamon Sticks(Dalchini) 50g,dalchini-cinnamon-sticks50g,15.0,15.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4261-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4261-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/dalchini-cinnamon-sticks50g/,,Trs
10871,Ajwain Seeds 100g,ajwan-seeds-100g,18.0,18.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4262-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4262-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/ajwan-seeds-100g/,,TRS
10869,Whole Dhania (Coriander Seeds) 100g,whole-dhania-coriander-seeds100g,13.0,13.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4263-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4263-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/whole-dhania-coriander-seeds100g/,,TRS
10867,Turmeric Powder (Haldi) 100g,turmeric-powder-100g,16.0,16.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/Turmeric-Powder-100g.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/Turmeric-Powder-100g.jpeg,,0.0,0,https://www.sabziwala.dk/product/turmeric-powder-100g/,,Haldi
10865,Curry Powder Hot 100g,hot-madras-curry-powder-100g,15.0,15.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2023/08/41535.jpg,https://www.sabziwala.dk/wp-content/uploads/2023/08/41535.jpg,,0.0,0,https://www.sabziwala.dk/product/hot-madras-curry-powder-100g/,,Ali Baba
10863,Mild Madras Curry Powder 100g,mild-madras-curry-powder-100g,13.0,13.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4267-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4267-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/mild-madras-curry-powder-100g/,,Trs
10861,Cumin Seeds (Jeera)100g,cumin-seeds-jeera100g,18.0,18.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4268.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4268.jpeg,,0.0,0,https://www.sabziwala.dk/product/cumin-seeds-jeera100g/,,KHANUM
10859,Garam Masala 100g,garam-masala-100g,18.0,18.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4269.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4269.jpeg,,0.0,0,https://www.sabziwala.dk/product/garam-masala-100g/,,TRS
10857,Cumin Powder (Jeera)100g,cumin-powder-jeera-powder,18.0,18.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4270-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4270-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/cumin-powder-jeera-powder/,,
10855,Kala Jeera 50g,kala-jeera-50g,23.0,23.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4271.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4271.jpeg,,0.0,0,https://www.sabziwala.dk/product/kala-jeera-50g/,,
10853,Black Pepper Whole 100g,black-pepper-100g,20.0,20.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4272-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4272-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/black-pepper-100g/,,
10851,Black Pepper Powder 100g,black-pepper-powder-100g,20.0,20.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4273.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4273.jpeg,,0.0,0,https://www.sabziwala.dk/product/black-pepper-powder-100g/,,Trs
10849,Chilli Powder 100g,chilli-powder-100g,15.0,15.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2024/01/42254.jpg,https://www.sabziwala.dk/wp-content/uploads/2024/01/42254.jpg,,0.0,0,https://www.sabziwala.dk/product/chilli-powder-100g/,,
10847,Black Pepper (Coarse) 100g,black-pepper-coarse-100g,20.0,20.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4275.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4275.jpeg,,0.0,0,https://www.sabziwala.dk/product/black-pepper-coarse-100g/,,Trs
10845,Kashmiri Chilli Powder 100g,kashmiri-chilli-powder-100g,26.0,26.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2023/10/41793.jpg,https://www.sabziwala.dk/wp-content/uploads/2023/10/41793.jpg,,0.0,0,https://www.sabziwala.dk/product/kashmiri-chilli-powder-100g/,,TRS
10843,Crushed Red Chilli 50g,crushed-red-chilli-50g,13.0,13.0,,False,DKK,kr.,True,Cake Rusk & Cookies,Cake Rusk & Cookies; Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4277-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4277-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/crushed-red-chilli-50g/,,KHANUM
10841,Paprika Powder 100g,paprika-100g,18.0,18.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4278-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4278-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/paprika-100g/,,TRS
10839,Mace / Javentry 50g,mace-javitri-40g,45.0,45.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/TRS-Jawantry-mace-50g.webp,https://www.sabziwala.dk/wp-content/uploads/2022/02/TRS-Jawantry-mace-50g.webp,,0.0,0,https://www.sabziwala.dk/product/mace-javitri-40g/,,
10837,Birds Eye Chilli 50g,birds-eye-chilli-50g,18.0,18.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4280-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4280-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/birds-eye-chilli-50g/,,Premium quality
10835,Nutmegs / Jaifal 100g,nutmegs-jaifal-100g,45.0,45.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2023/12/42181.jpg,https://www.sabziwala.dk/wp-content/uploads/2023/12/42181.jpg,,0.0,0,https://www.sabziwala.dk/product/nutmegs-jaifal-100g/,,TRS
10833,Black Salt Powder 200g,black-salt-powder-200g,25.0,25.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4282.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4282.jpeg,,0.0,0,https://www.sabziwala.dk/product/black-salt-powder-200g/,,TRS
10831,Monosodium Glutamate 100g,monosodium-glutamate-100g,13.0,13.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4283-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4283-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/monosodium-glutamate-100g/,,Heera
10829,Whole Round Chilli 25g,whole-round-chilli-25g,18.0,18.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4284-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4284-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/whole-round-chilli-25g/,,Stem cut
10827,Tandoori Masala 100g,tandoori-masala-100g,15.0,15.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2023/12/42175.jpg,https://www.sabziwala.dk/wp-content/uploads/2023/12/42175.jpg,,0.0,0,https://www.sabziwala.dk/product/tandoori-masala-100g/,,Barbecue spice blend
10825,Chilli Powder (Extra Hot) 100g,chilli-powder-extra-hot-100g,15.0,15.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4286-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4286-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/chilli-powder-extra-hot-100g/,,TRS
10823,Black Salt Powder 100g,black-salt-powder-100g,15.0,15.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2023/12/42169.jpg,https://www.sabziwala.dk/wp-content/uploads/2023/12/42169.jpg,,0.0,0,https://www.sabziwala.dk/product/black-salt-powder-100g/,,Kala Nimak
10819,Ginger Powder 1Kg,ginger-powder-1kg,85.0,85.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4289-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4289-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/ginger-powder-1kg/,,TRS
